Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
582NM_End_BE4max_HEK_1_1	Reference	81.78306092	18.21693908	10222	10095	10095	8256	1839	0	4	38	1803	4	32	1797	0	0	6	0
582NM_End_BE4max_HEK_1_2	Reference	77.82489869	22.17510131	10714	10611	10611	8258	2353	0	6	44	2307	6	40	2303	0	0	4	0
582NM_End_BE4max_HEK_2_1	Reference	81.11980068	18.88019932	14647	14449	14449	11721	2728	0	3	44	2688	3	37	2681	0	0	7	0
582NM_End_BE4max_HEK_2_2	Reference	79.1603549	20.8396451	14023	13863	13863	10974	2889	0	3	73	2824	2	63	2813	0	1	10	0
582NM_End_BE4max_K562_1_1	Reference	0.09017133	99.90982867	6718	6654	6654	6	6648	0	0	4	6648	0	0	6644	0	0	4	0
582NM_End_BE4max_K562_1_2	Reference	0.12204424	99.87795576	6606	6555	6555	8	6547	0	0	1	6547	0	0	6546	0	0	1	0
582NM_End_BE4max_K562_2_1	Reference	0.13421532	99.86578468	10549	10431	10431	14	10417	0	0	0	10417	0	0	10417	0	0	0	0
582NM_End_BE4max_K562_2_2	Reference	0.15464914	99.84535086	10454	10346	10346	16	10330	0	0	4	10330	0	0	10326	0	0	4	0
582NM_Rep_BE4max_HEK_1_1	Reference	59.21985816	40.78014184	8569	8460	8460	5010	3450	0	26	28	3412	16	22	3396	0	10	6	0
582NM_Rep_BE4max_HEK_1_2	Reference	53.47520165	46.52479835	11752	11654	11654	6232	5422	0	44	55	5343	33	46	5324	0	10	8	1
582NM_Rep_BE4max_HEK_2_1	Reference	60.10600347	39.89399653	9972	9811	9811	5897	3914	0	32	48	3848	24	42	3835	0	7	5	1
582NM_Rep_BE4max_HEK_2_2	Reference	57.01901813	42.98098187	11489	11305	11305	6446	4859	0	29	38	4805	21	33	4792	0	8	5	0
582NM_Rep_BE4max_K562_1_1	Reference	82.29933726	17.70066274	11004	10864	10864	8941	1923	0	7	14	1909	6	8	1903	0	0	5	1
582NM_Rep_BE4max_K562_1_2	Reference	75.13254661	24.86745339	11755	11694	11694	8786	2908	0	9	22	2886	3	19	2877	0	6	3	0
582NM_Rep_BE4max_K562_2_1	Reference	82.9060825	17.0939175	16500	8582	8582	7115	1467	0	13	10	1452	8	7	1444	0	5	3	0
582NM_Rep_BE4max_K562_2_2	Reference	83.50235233	16.49764767	18710	9565	9565	7987	1578	0	6	14	1560	5	13	1558	0	1	1	0
569NM_Rep_BE4maxCtrl_HEK_1_1	Reference	97.45079058	2.54920942	9449	9297	9297	9060	237	0	0	7	230	0	7	230	0	0	0	0
582NM_Rep_BE4maxCtrl_HEK_1_1	Reference	95.77282995	4.22717005	9449	9297	9297	8904	393	0	1	8	384	1	8	384	0	0	0	0
569NM_Rep_BE4maxCtrl_HEK_1_2	Reference	96.77910221	3.22089779	8064	7886	7886	7632	254	0	0	1	253	0	1	253	0	0	0	0
582NM_Rep_BE4maxCtrl_HEK_1_2	Reference	96.57621101	3.42378899	8064	7886	7886	7616	270	0	4	4	262	4	4	262	0	0	0	0
569NM_Rep_BE4maxCtrl_K562_1_1	Reference	97.31891702	2.68108298	12599	11376	11376	11071	305	0	0	2	303	0	2	303	0	0	0	0
582NM_Rep_BE4maxCtrl_K562_1_1	Reference	96.53656821	3.46343179	12599	11376	11376	10982	394	0	0	7	388	0	6	387	0	0	1	0
569NM_Rep_BE4maxCtrl_K562_1_2	Reference	96.75162765	3.24837235	14868	14438	14438	13969	469	0	0	4	465	0	4	465	0	0	0	0
582NM_Rep_BE4maxCtrl_K562_1_2	Reference	97.09100984	2.90899016	14868	14438	14438	14018	420	0	4	9	411	3	6	407	0	1	3	0
563NM_Rep_BE4maxCtrl_HEK_1_1	Reference	97.42483296	2.57516704	7246	7184	7184	6999	185	0	0	4	181	0	4	181	0	0	0	0
566NM_Rep_BE4maxCtrl_HEK_1_1	Reference	96.82628062	3.17371938	7246	7184	7184	6956	228	0	1	15	212	1	15	212	0	0	0	0
563NM_Rep_BE4maxCtrl_HEK_1_2	Reference	97.64961485	2.35038515	5116	5063	5063	4944	119	0	0	4	115	0	4	115	0	0	0	0
566NM_Rep_BE4maxCtrl_HEK_1_2	Reference	97.55085917	2.44914083	5116	5063	5063	4939	124	0	0	7	118	0	6	117	0	0	1	0
563NM_Rep_BE4maxCtrl_K562_1_1	Reference	97.63033175	2.36966825	13241	12660	12660	12360	300	0	0	4	296	0	4	296	0	0	0	0
566NM_Rep_BE4maxCtrl_K562_1_1	Reference	96.84044234	3.15955766	13241	12660	12660	12260	400	0	1	36	365	1	34	363	0	0	2	0
563NM_Rep_BE4maxCtrl_K562_1_2	Reference	97.89771222	2.10228778	11417	11321	11321	11083	238	0	0	4	234	0	4	234	0	0	0	0
566NM_Rep_BE4maxCtrl_K562_1_2	Reference	97.05856373	2.94143627	11417	11321	11321	10988	333	0	5	26	304	4	25	302	0	1	1	0
567NM_Rep_BE4maxCtrl_HEK_1_1	Reference	97.10288298	2.89711702	7145	7076	7076	6871	205	0	0	0	205	0	0	205	0	0	0	0
568NM_Rep_BE4maxCtrl_HEK_1_1	Reference	96.93329565	3.06670435	7145	7076	7076	6859	217	0	0	5	212	0	5	212	0	0	0	0
567NM_Rep_BE4maxCtrl_HEK_1_2	Reference	96.63686675	3.36313325	4750	4698	4698	4540	158	0	0	2	156	0	2	156	0	0	0	0
568NM_Rep_BE4maxCtrl_HEK_1_2	Reference	97.19029374	2.80970626	4750	4698	4698	4566	132	0	0	1	131	0	1	131	0	0	0	0
567NM_Rep_BE4maxCtrl_K562_1_1	Reference	97.22405453	2.77594547	18400	18192	18192	17687	505	0	0	12	494	0	11	493	0	0	1	0
568NM_Rep_BE4maxCtrl_K562_1_1	Reference	96.7348285	3.2651715	18400	18192	18192	17598	594	0	0	7	587	0	7	587	0	0	0	0
567NM_Rep_BE4maxCtrl_K562_1_2	Reference	96.81485395	3.18514605	13415	13249	13249	12827	422	0	0	3	419	0	3	419	0	0	0	0
568NM_Rep_BE4maxCtrl_K562_1_2	Reference	97.27526606	2.72473394	13415	13249	13249	12888	361	0	0	5	356	0	5	356	0	0	0	0
578NM_Rep_BE4maxCtrl_HEK_1_1	Reference	96.65427509	3.34572491	10368	10222	10222	9880	342	0	2	5	336	2	4	335	0	0	1	0
580NM_Rep_BE4maxCtrl_HEK_1_1	Reference	97.56407748	2.43592252	10368	10222	10222	9973	249	0	0	9	241	0	8	240	0	0	1	0
578NM_Rep_BE4maxCtrl_HEK_1_2	Reference	97.49562655	2.50437345	11001	10861	10861	10589	272	0	1	3	268	1	3	268	0	0	0	0
580NM_Rep_BE4maxCtrl_HEK_1_2	Reference	97.86391677	2.13608323	11001	10861	10861	10629	232	0	0	3	229	0	3	229	0	0	0	0
578NM_Rep_BE4maxCtrl_K562_1_1	Reference	96.87772625	3.12227375	22270	21779	21779	21099	680	0	5	26	650	5	25	649	0	0	1	0
580NM_Rep_BE4maxCtrl_K562_1_1	Reference	97.26801047	2.73198953	22270	21779	21779	21184	595	0	0	12	583	0	12	583	0	0	0	0
578NM_Rep_BE4maxCtrl_K562_1_2	Reference	97.53916824	2.46083176	24731	24382	24382	23782	600	0	1	12	587	1	12	587	0	0	0	0
580NM_Rep_BE4maxCtrl_K562_1_2	Reference	97.99032073	2.00967927	24731	24382	24382	23892	490	0	0	10	480	0	10	480	0	0	0	0
565NM_Rep_BE4maxCtrl_HEK_1_1	Reference	96.41354071	3.58645929	7081	5465	5465	5269	196	0	0	2	194	0	2	194	0	0	0	0
575NM_Rep_BE4maxCtrl_HEK_1_1	Reference	97.82250686	2.17749314	7081	5465	5465	5346	119	0	0	0	119	0	0	119	0	0	0	0
576NM_Rep_BE4maxCtrl_HEK_1_1	Reference	96.81610247	3.18389753	7081	5465	5465	5291	174	0	2	11	164	1	9	161	0	1	2	0
565NM_Rep_BE4maxCtrl_HEK_1_2	Reference	94.96092697	5.03907303	6137	3711	3711	3524	187	0	0	3	184	0	3	184	0	0	0	0
