Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
58_TD_PE2_1_2	HDR	50	50	20409	13573	2	1	1	0	0	0	1	0	0	1	0	0	0	0
59_TD_PE2_1_2	Reference	89.63414634	10.36585366	21105	13979	13940	12495	1445	0	0	0	1445	0	0	1445	0	0	0	0
59_TD_PE2_1_2	HDR	84.61538462	15.38461538	21105	13979	39	33	6	0	0	0	6	0	0	6	0	0	0	0
60_TD_PE2_1_2	Reference	95.47254488	4.52745512	8238	7807	7576	7233	343	0	0	5	339	0	4	338	0	0	1	0
60_TD_PE2_1_2	HDR	100	0	8238	7807	68	68	0	0	0	0	0	0	0	0	0	0	0	0
1_NM_PE2_2_1	Reference	97.98609099	2.01390901	7547	7226	6902	6763	139	0	11	22	110	9	20	106	0	2	2	0
1_NM_PE2_2_1	HDR	94.59459459	5.40540541	7547	7226	296	280	16	0	0	10	10	0	6	6	0	0	4	0
1_NM_PE2_2_2	Reference	97.66323024	2.33676976	9473	9129	8730	8526	204	0	15	32	163	13	28	157	0	2	4	0
1_NM_PE2_2_2	HDR	93.73219373	6.26780627	9473	9129	351	329	22	0	3	13	14	2	6	6	0	1	7	0
1_TD_PE2_2_1	Reference	98.39102877	1.60897123	8950	8700	8204	8072	132	0	4	6	122	4	6	122	0	0	0	0
1_TD_PE2_2_1	HDR	98.58870968	1.41129032	8950	8700	496	489	7	0	1	3	3	1	3	3	0	0	0	0
1_TD_PE2_2_2	Reference	97.82496116	2.17503884	6341	6122	5793	5667	126	0	7	4	119	3	4	115	0	4	0	0
1_TD_PE2_2_2	HDR	96.96048632	3.03951368	6341	6122	329	319	10	0	0	4	6	0	4	6	0	0	0	0
10_NM_PE2_2_1	Reference	97.05224923	2.94775077	10317	10003	7158	6947	211	0	3	3	205	3	3	205	0	0	0	0
10_NM_PE2_2_1	HDR	97.07024356	2.92975644	10317	10003	2833	2750	83	0	4	3	77	4	2	76	0	0	1	0
10_NM_PE2_2_2	Reference	97.42946708	2.57053292	6950	6688	4785	4662	123	0	0	3	120	0	3	120	0	0	0	0
10_NM_PE2_2_2	HDR	96.82539683	3.17460317	6950	6688	1890	1830	60	0	1	1	58	1	1	58	0	0	0	0
10_TD_PE2_2_2	Reference	97.80422063	2.19577937	15281	15219	15211	14877	334	0	0	6	330	0	4	328	0	0	2	0
10_TD_PE2_2_2	HDR	75	25	15281	15219	8	6	2	0	0	0	2	0	0	2	0	0	0	0
11_NM_PE2_2_1	Reference	97.17235902	2.82764098	9027	8662	6295	6117	178	0	2	25	164	1	13	152	0	0	11	1
11_NM_PE2_2_1	HDR	65.73722011	34.26277989	9027	8662	2367	1556	811	0	12	181	644	10	157	618	0	2	24	0
11_NM_PE2_2_2	Reference	97.00854701	2.99145299	9053	8709	6318	6129	189	0	1	38	159	1	29	150	0	0	9	0
11_NM_PE2_2_2	HDR	64.53366792	35.46633208	9053	8709	2391	1543	848	0	7	182	696	5	146	660	1	1	35	0
11_TD_PE2_2_1	Reference	98.0385747	1.9614253	6374	6269	6118	5998	120	0	0	1	119	0	1	119	0	0	0	0
11_TD_PE2_2_1	HDR	94.70198675	5.29801325	6374	6269	151	143	8	0	1	1	6	1	1	6	0	0	0	0
11_TD_PE2_2_2	Reference	97.65248796	2.34751204	5216	5083	4984	4867	117	0	0	5	114	0	3	112	0	0	2	0
11_TD_PE2_2_2	HDR	96.96969697	3.03030303	5216	5083	99	96	3	0	0	0	3	0	0	3	0	0	0	0
12_NM_PE2_2_1	Reference	97.73619076	2.26380924	9312	8980	3313	3238	75	0	2	1	72	2	1	72	0	0	0	0
12_NM_PE2_2_1	HDR	97.33262674	2.66737326	9312	8980	5661	5510	151	0	11	4	139	11	1	136	0	0	3	0
12_NM_PE2_2_2	Reference	97.2765536	2.7234464	10417	10084	4039	3929	110	0	4	1	105	4	1	105	0	0	0	0
12_NM_PE2_2_2	HDR	96.81855841	3.18144159	10417	10084	6035	5843	192	0	10	2	180	10	2	180	0	0	0	0
12_TD_PE2_2_1	Reference	96.03825137	3.96174863	3671	3669	3660	3515	145	0	0	1	144	0	1	144	0	0	0	0
12_TD_PE2_2_1	HDR	60	40	3671	3669	5	3	2	0	0	2	0	0	2	0	0	0	0	0
12_TD_PE2_2_2	Reference	96.32392115	3.67607885	5692	5636	5631	5424	207	0	0	5	202	0	5	202	0	0	0	0
12_TD_PE2_2_2	HDR	100	0	5692	5636	4	4	0	0	0	0	0	0	0	0	0	0	0	0
13_NM_PE2_2_1	Reference	96.55520852	3.44479148	11639	11391	10886	10511	375	0	18	6	360	10	5	351	0	8	1	0
13_NM_PE2_2_1	HDR	87.12871287	12.87128713	11639	11391	505	440	65	0	14	15	53	6	6	37	0	7	8	1
13_NM_PE2_2_2	Reference	96.36463031	3.63536969	7779	7636	7317	7051	266	0	11	3	260	5	1	254	0	4	0	2
13_NM_PE2_2_2	HDR	91.53605016	8.46394984	7779	7636	319	292	27	0	5	11	18	4	5	11	0	1	6	0
13_TD_PE2_2_1	Reference	97.40303541	2.59696459	3138	3095	2965	2888	77	0	14	1	72	4	1	62	0	10	0	0
13_TD_PE2_2_1	HDR	96.15384615	3.84615385	3138	3095	130	125	5	0	0	3	2	0	3	2	0	0	0	0
13_TD_PE2_2_2	Reference	96.65039929	3.34960071	9585	9420	9016	8714	302	0	34	5	294	3	5	263	0	31	0	0
13_TD_PE2_2_2	HDR	97.27722772	2.72277228	9585	9420	404	393	11	0	2	1	9	1	1	8	0	1	0	0
14_NM_PE2_2_1	Reference	93.33770615	6.66229385	11412	10729	10672	9961	711	0	19	23	696	7	8	670	0	11	14	1
14_NM_PE2_2_1	HDR	47.36842105	52.63157895	11412	10729	57	27	30	0	0	19	30	0	0	11	0	0	19	0
14_NM_PE2_2_2	Reference	93.99964495	6.00035505	5944	5666	5633	5295	338	0	12	13	336	0	2	315	0	10	9	2
14_NM_PE2_2_2	HDR	45.45454545	54.54545455	5944	5666	33	15	18	0	1	14	15	0	3	4	0	0	10	1
14_TD_PE2_2_1	Reference	97.0437018	2.9562982	3435	3374	1556	1510	46	0	0	3	43	0	3	43	0	0	0	0
14_TD_PE2_2_1	HDR	96.36963696	3.63036304	3435	3374	1818	1752	66	0	3	2	61	3	2	61	0	0	0	0
14_TD_PE2_2_2	Reference	96.63546673	3.36453327	8052	7910	3953	3820	133	0	0	11	126	0	7	122	0	0	4	0
14_TD_PE2_2_2	HDR	95.88071772	4.11928228	8052	7910	3957	3794	163	0	5	2	156	5	2	156	0	0	0	0
15_NM_PE2_2_1	Reference	96.81798436	3.18201564	9333	9224	9208	8915	293	0	0	4	289	0	4	289	0	0	0	0
15_NM_PE2_2_1	HDR	100	0	9333	9224	11	11	0	0	0	0	0	0	0	0	0	0	0	0
15_NM_PE2_2_2	Reference	96.84722222	3.15277778	7301	7215	7200	6973	227	0	1	2	224	1	2	224	0	0	0	0
15_NM_PE2_2_2	HDR	100	0	7301	7215	12	12	0	0	0	0	0	0	0	0	0	0	0	0
15_TD_PE2_2_1	Reference	97.76059717	2.23940283	4294	4231	3751	3667	84	0	2	2	80	2	2	80	0	0	0	0
15_TD_PE2_2_1	HDR	97.43040685	2.56959315	4294	4231	467	455	12	0	0	0	12	0	0	12	0	0	0	0
15_TD_PE2_2_2	Reference	97.49841001	2.50158999	10927	10692	9434	9198	236	0	7	8	221	7	8	221	0	0	0	0
15_TD_PE2_2_2	HDR	96.45507007	3.54492993	10927	10692	1213	1170	43	0	2	7	35	2	6	34	0	0	1	0
16_NM_PE2_2_1	Reference	98.14882923	1.85117077	8764	8476	8157	8006	151	0	0	0	151	0	0	151	0	0	0	0
16_NM_PE2_2_1	HDR	98.08917197	1.91082803	8764	8476	314	308	6	0	0	0	6	0	0	6	0	0	0	0
16_NM_PE2_2_2	Reference	97.99357164	2.00642836	11050	10653	10267	10061	206	0	0	8	198	0	8	198	0	0	0	0
16_NM_PE2_2_2	HDR	95.80052493	4.19947507	11050	10653	381	365	16	0	1	0	15	1	0	15	0	0	0	0
16_TD_PE2_2_1	Reference	97.11434736	2.88565264	7859	7729	7416	7202	214	0	4	4	211	0	3	206	0	4	1	0
16_TD_PE2_2_1	HDR	93.61022364	6.38977636	7859	7729	313	293	20	0	8	0	13	7	0	12	0	1	0	0
16_TD_PE2_2_2	Reference	97.40595287	2.59404713	10271	10092	9676	9425	251	0	6	7	244	0	7	238	0	6	0	0
16_TD_PE2_2_2	HDR	94.71153846	5.28846154	10271	10092	416	394	22	0	8	1	14	7	1	13	0	1	0	0
17_NM_PE2_2_1	Reference	98.52405985	1.47594015	8930	8648	4946	4873	73	0	3	3	67	3	3	67	0	0	0	0
17_NM_PE2_2_1	HDR	96.64047684	3.35952316	8930	8648	3691	3567	124	0	11	23	92	11	21	90	0	0	2	0
17_NM_PE2_2_2	Reference	98.40848806	1.59151194	7287	6936	3770	3710	60	0	3	0	57	3	0	57	0	0	0	0
17_NM_PE2_2_2	HDR	96.80076022	3.19923978	7287	6936	3157	3056	101	0	7	25	73	7	21	69	0	0	4	0
17_TD_PE2_2_1	Reference	97.25699068	2.74300932	3816	3766	3755	3652	103	0	0	1	102	0	1	102	0	0	0	0
