Batch	Amplicon	Unmodified%	Modified%	Reads_in_input	Reads_aligned_all_amplicons	Reads_aligned	Unmodified	Modified	Discarded	Insertions	Deletions	Substitutions	Only Insertions	Only Deletions	Only Substitutions	Insertions and Deletions	Insertions and Substitutions	Deletions and Substitutions	Insertions Deletions and Substitutions
544NM_Rep_PE_K562_1_1	HDR	89.13738019	10.86261981	8754	5398	313	279	34	0	3	10	24	2	8	21	0	1	2	0
544NM_Rep_PE_K562_1_2	Reference	92.93413174	7.06586826	5211	3669	3340	3104	236	0	18	4	218	15	3	214	0	3	1	0
544NM_Rep_PE_K562_1_2	HDR	86.01823708	13.98176292	5211	3669	329	283	46	0	5	13	35	0	11	29	0	4	1	1
544NM_Rep_PE_K562_2_1	Reference	92.86349489	7.13650511	8338	4883	4498	4177	321	0	15	9	305	10	6	298	0	4	2	1
544NM_Rep_PE_K562_2_1	HDR	85.71428571	14.28571429	8338	4883	385	330	55	0	4	15	40	2	13	36	0	2	2	0
544NM_Rep_PE_K562_2_2	Reference	93.01330072	6.98669928	11079	7419	6541	6084	457	0	40	12	421	28	8	405	0	12	4	0
544NM_Rep_PE_K562_2_2	HDR	85.71428571	14.28571429	11079	7419	875	750	125	0	16	33	90	10	25	77	0	5	7	1
545NM_End_PE_HEK_1_1	Reference	96.29842181	3.70157819	6061	5900	3485	3356	129	0	0	4	125	0	4	125	0	0	0	0
545NM_End_PE_HEK_1_1	HDR	92.62939959	7.37060041	6061	5900	2415	2237	178	0	0	4	174	0	4	174	0	0	0	0
545NM_End_PE_HEK_1_2	Reference	96.03043334	3.96956666	5239	4945	3023	2903	120	0	1	16	106	1	13	103	0	0	3	0
545NM_End_PE_HEK_1_2	HDR	91.82717335	8.17282665	5239	4945	1921	1764	157	0	3	1	154	2	1	153	0	1	0	0
545NM_End_PE_HEK_2_1	Reference	97.82540183	2.17459817	5039	4937	3173	3104	69	0	0	21	57	0	12	48	0	0	9	0
545NM_End_PE_HEK_2_1	HDR	93.65079365	6.34920635	5039	4937	1764	1652	112	0	2	2	108	2	2	108	0	0	0	0
545NM_End_PE_HEK_2_2	Reference	95.74468085	4.25531915	4063	3804	2397	2295	102	0	0	6	98	0	4	96	0	0	2	0
545NM_End_PE_HEK_2_2	HDR	91.47121535	8.52878465	4063	3804	1407	1287	120	0	1	0	119	1	0	119	0	0	0	0
545NM_End_PE_K562_1_1	Reference	95.8490566	4.1509434	4322	4271	4240	4064	176	0	0	3	174	0	2	173	0	0	1	0
545NM_End_PE_K562_1_1	HDR	87.09677419	12.90322581	4322	4271	31	27	4	0	0	0	4	0	0	4	0	0	0	0
545NM_End_PE_K562_1_2	Reference	97.12518803	2.87481197	6343	6043	5983	5811	172	0	0	2	170	0	2	170	0	0	0	0
545NM_End_PE_K562_1_2	HDR	93.33333333	6.66666667	6343	6043	60	56	4	0	1	0	3	1	0	3	0	0	0	0
545NM_End_PE_K562_2_1	Reference	95.80760481	4.19239519	9487	9344	9231	8844	387	0	1	1	386	0	1	385	0	1	0	0
545NM_End_PE_K562_2_1	HDR	88.49557522	11.50442478	9487	9344	113	100	13	0	1	0	12	1	0	12	0	0	0	0
545NM_End_PE_K562_2_2	Reference	96.84715559	3.15284441	6187	5890	5836	5652	184	0	0	3	181	0	3	181	0	0	0	0
545NM_End_PE_K562_2_2	HDR	94.44444444	5.55555556	6187	5890	54	51	3	0	1	0	2	1	0	2	0	0	0	0
545NM_Rep_PE_HEK_1_1	Reference	95.59585492	4.40414508	3073	1632	386	369	17	0	1	2	15	1	1	14	0	0	1	0
545NM_Rep_PE_HEK_1_1	HDR	93.82022472	6.17977528	3073	1632	1246	1169	77	0	1	0	76	1	0	76	0	0	0	0
545NM_Rep_PE_HEK_1_2	Reference	88.7195122	11.2804878	6332	1298	328	291	37	0	0	24	13	0	24	13	0	0	0	0
545NM_Rep_PE_HEK_1_2	HDR	95.46391753	4.53608247	6332	1298	970	926	44	0	1	0	43	1	0	43	0	0	0	0
545NM_Rep_PE_HEK_2_1	Reference	94.83394834	5.16605166	7621	5151	1084	1028	56	0	1	10	46	1	9	45	0	0	1	0
545NM_Rep_PE_HEK_2_1	HDR	94.76272437	5.23727563	7621	5151	4067	3854	213	0	0	1	212	0	1	212	0	0	0	0
545NM_Rep_PE_HEK_2_2	Reference	94.62809917	5.37190083	5721	1174	242	229	13	0	0	3	10	0	3	10	0	0	0	0
545NM_Rep_PE_HEK_2_2	HDR	93.45493562	6.54506438	5721	1174	932	871	61	0	0	1	60	0	1	60	0	0	0	0
545NM_Rep_PE_K562_1_1	Reference	95.82674676	4.17325324	5446	3535	3163	3031	132	0	0	3	130	0	2	129	0	0	1	0
545NM_Rep_PE_K562_1_1	HDR	93.8172043	6.1827957	5446	3535	372	349	23	0	0	0	23	0	0	23	0	0	0	0
545NM_Rep_PE_K562_1_2	Reference	96.31043257	3.68956743	4048	1747	1572	1514	58	0	0	2	57	0	1	56	0	0	1	0
545NM_Rep_PE_K562_1_2	HDR	92.0	8.0	4048	1747	175	161	14	0	0	0	14	0	0	14	0	0	0	0
545NM_Rep_PE_K562_2_1	Reference	95.6432247	4.3567753	6027	3262	2915	2788	127	0	0	3	124	0	3	124	0	0	0	0
545NM_Rep_PE_K562_2_1	HDR	91.06628242	8.93371758	6027	3262	347	316	31	0	1	1	29	1	1	29	0	0	0	0
545NM_Rep_PE_K562_2_2	Reference	96.48711944	3.51288056	5660	2838	2562	2472	90	0	1	2	88	1	1	87	0	0	1	0
545NM_Rep_PE_K562_2_2	HDR	86.95652174	13.04347826	5660	2838	276	240	36	0	1	0	36	0	0	35	0	1	0	0
546NM_End_PE_HEK_1_1	Reference	94.64612569	5.35387431	7398	7058	6556	6205	351	0	128	15	216	120	15	208	0	8	0	0
546NM_End_PE_HEK_1_1	HDR	87.64940239	12.35059761	7398	7058	502	440	62	0	2	31	39	0	23	29	0	2	8	0
546NM_End_PE_HEK_1_2	Reference	94.23913043	5.76086957	3359	2952	2760	2601	159	0	58	13	90	56	13	88	0	2	0	0
546NM_End_PE_HEK_1_2	HDR	85.41666667	14.58333333	3359	2952	192	164	28	0	0	19	15	0	13	9	0	0	6	0
546NM_End_PE_HEK_2_1	Reference	95.31590414	4.68409586	7989	7873	7344	7000	344	0	131	28	187	129	28	185	0	2	0	0
546NM_End_PE_HEK_2_1	HDR	87.52362949	12.47637051	7989	7873	529	463	66	0	3	51	22	1	43	12	0	2	8	0
546NM_End_PE_HEK_2_2	Reference	94.87322374	5.12677626	4066	3834	3589	3405	184	0	58	5	125	54	5	121	0	4	0	0
546NM_End_PE_HEK_2_2	HDR	87.75510204	12.24489796	4066	3834	245	215	30	0	1	20	11	1	18	9	0	0	2	0
546NM_End_PE_K562_1_1	Reference	46.41109299	53.58890701	4987	4908	4904	2276	2628	0	3	3	2622	3	3	2622	0	0	0	0
546NM_End_PE_K562_1_1	HDR	25.0	75.0	4987	4908	4	1	3	0	0	1	2	0	1	2	0	0	0	0
546NM_End_PE_K562_1_2	Reference	48.09760132	51.90239868	7617	7265	7254	3489	3765	0	9	5	3760	2	3	3751	0	7	2	0
546NM_End_PE_K562_1_2	HDR	27.27272727	72.72727273	7617	7265	11	3	8	0	0	3	6	0	2	5	0	0	1	0
546NM_End_PE_K562_2_1	Reference	46.86266503	53.13733497	7507	7365	7347	3443	3904	0	17	13	3889	8	7	3874	0	9	6	0
546NM_End_PE_K562_2_1	HDR	22.22222222	77.77777778	7507	7365	18	4	14	0	0	6	10	0	4	8	0	0	2	0
546NM_End_PE_K562_2_2	Reference	47.39413681	52.60586319	4512	4301	4298	2037	2261	0	4	10	2251	2	8	2247	0	2	2	0
546NM_End_PE_K562_2_2	HDR	0.0	100.0	4512	4301	3	0	3	0	0	1	3	0	0	2	0	0	1	0
546NM_Rep_PE_HEK_1_1	Reference	91.5480427	8.4519573	3985	2092	1124	1029	95	0	36	8	54	33	8	51	0	3	0	0
546NM_Rep_PE_HEK_1_1	HDR	94.83471074	5.16528926	3985	2092	968	918	50	0	6	3	42	6	2	41	0	0	1	0
546NM_Rep_PE_HEK_1_2	Reference	94.29874572	5.70125428	5466	1607	877	827	50	0	22	2	33	16	1	27	0	5	0	1
546NM_Rep_PE_HEK_1_2	HDR	96.16438356	3.83561644	5466	1607	730	702	28	0	1	3	26	0	2	24	0	1	1	0
546NM_Rep_PE_HEK_2_1	Reference	93.48986126	6.51013874	5807	3594	1874	1752	122	0	50	10	68	45	9	63	0	4	0	1
546NM_Rep_PE_HEK_2_1	HDR	95.93023256	4.06976744	5807	3594	1720	1650	70	0	10	8	67	1	2	54	0	7	4	2
546NM_Rep_PE_HEK_2_2	Reference	94.22110553	5.77889447	5604	1303	796	750	46	0	23	1	23	22	1	22	0	1	0	0
546NM_Rep_PE_HEK_2_2	HDR	96.25246548	3.74753452	5604	1303	507	488	19	0	1	3	17	1	1	15	0	0	2	0
546NM_Rep_PE_K562_1_1	Reference	94.27725703	5.72274297	6006	4089	4054	3822	232	0	12	4	216	12	4	216	0	0	0	0
546NM_Rep_PE_K562_1_1	HDR	68.57142857	31.42857143	6006	4089	35	24	11	0	3	5	7	1	2	4	1	1	2	0
546NM_Rep_PE_K562_1_2	Reference	95.81151832	4.18848168	4823	2125	2101	2013	88	0	9	3	77	8	3	76	0	1	0	0
546NM_Rep_PE_K562_1_2	HDR	87.5	12.5	4823	2125	24	21	3	0	0	2	2	0	1	1	0	0	1	0
546NM_Rep_PE_K562_2_1	Reference	95.03590384	4.96409616	5257	3258	3203	3044	159	0	23	6	131	22	6	130	0	1	0	0
546NM_Rep_PE_K562_2_1	HDR	94.54545455	5.45454545	5257	3258	55	52	3	0	0	3	1	0	2	0	0	0	1	0
546NM_Rep_PE_K562_2_2	Reference	95.69536424	4.30463576	4771	2153	2114	2023	91	0	6	2	84	5	2	83	0	1	0	0
546NM_Rep_PE_K562_2_2	HDR	89.74358974	10.25641026	4771	2153	39	35	4	0	1	3	2	0	2	0	0	1	1	0
547NM_End_PE_HEK_1_1	Reference	96.12625538	3.87374462	7772	7589	4182	4020	162	0	27	12	124	26	12	123	0	1	0	0
547NM_End_PE_HEK_1_1	HDR	96.97598577	3.02401423	7772	7589	3373	3271	102	0	1	1	100	1	1	100	0	0	0	0
547NM_End_PE_HEK_1_2	Reference	96.01899196	3.98100804	5648	5267	2738	2629	109	0	24	5	82	22	5	80	0	2	0	0
547NM_End_PE_HEK_1_2	HDR	96.96969697	3.03030303	5648	5267	2508	2432	76	0	3	4	70	2	4	69	0	1	0	0
547NM_End_PE_HEK_2_2	Reference	96.68134101	3.31865899	6071	5622	2953	2855	98	0	21	9	69	21	8	68	0	0	1	0
547NM_End_PE_HEK_2_2	HDR	96.86318972	3.13681028	6071	5622	2646	2563	83	0	0	7	77	0	6	76	0	0	1	0
547NM_End_PE_K562_1_1	Reference	94.18341992	5.81658008	8984	8877	8854	8339	515	0	4	3	509	3	3	508	0	1	0	0
547NM_End_PE_K562_1_1	HDR	89.47368421	10.52631579	8984	8877	19	17	2	0	0	0	2	0	0	2	0	0	0	0
547NM_End_PE_K562_1_2	Reference	97.60366182	2.39633818	7778	7457	7428	7250	178	0	5	5	168	5	5	168	0	0	0	0
547NM_End_PE_K562_1_2	HDR	100.0	0.0	7778	7457	25	25	0	0	0	0	0	0	0	0	0	0	0	0
547NM_End_PE_K562_2_1	Reference	95.74441376	4.25558624	8149	8014	7966	7627	339	0	8	11	320	8	11	320	0	0	0	0
547NM_End_PE_K562_2_1	HDR	90.24390244	9.75609756	8149	8014	41	37	4	0	1	1	3	0	1	2	0	1	0	0
547NM_End_PE_K562_2_2	Reference	97.2514953	2.7485047	7323	7052	7022	6829	193	0	3	6	184	3	6	184	0	0	0	0
547NM_End_PE_K562_2_2	HDR	88.0	12.0	7323	7052	25	22	3	0	0	1	2	0	1	2	0	0	0	0
547NM_Rep_PE_HEK_1_1	Reference	96.19883041	3.80116959	3045	1631	342	329	13	0	2	0	11	2	0	11	0	0	0	0
547NM_Rep_PE_HEK_1_1	HDR	97.90046656	2.09953344	3045	1631	1286	1259	27	0	0	1	26	0	1	26	0	0	0	0
547NM_Rep_PE_HEK_1_2	Reference	96.19377163	3.80622837	5512	1406	289	278	11	0	3	1	7	3	1	7	0	0	0	0
